|  -881.801888931646 |   237.832355820360 

[  0  0  0  0  0  0  3  0  2 ] (0.00001241)
[  0  0  0  0  0  0  3  1  0 ] (0.00001720)
[  0  0  0  0  0  0  3  1  1 ] (0.00008860)
[  0  0  0  0  0  0  3  2  0 ] (0.00004734)
[  0  0  0  0  0  0  4  0  0 ] (0.00123968)
[  0  0  0  0  0  0  4  0  1 ] (0.00203930)
[  0  0  0  0  0  0  4  1  0 ] (0.00489664)
[  0  0  0  0  0  0  5  0  0 ] (0.00566009)
[  0  0  0  0  0  1  0  0  0 ] (0.00001572)
[  0  0  0  0  0  1  0  0  1 ] (0.00003252)
[  0  0  0  0  0  1  0  0  2 ] (0.00031923)
[  0  0  0  0  0  1  0  0  3 ] (0.00000959)
[  0  0  0  0  0  1  0  0  4 ] (0.00000316)
[  0  0  0  0  0  1  0  1  0 ] (0.00001916)
[  0  0  0  0  0  1  0  1  1 ] (0.00011739)
[  0  0  0  0  0  1  0  1  2 ] (0.00044384)
[  0  0  0  0  0  1  0  1  3 ] (0.00001765)
[  0  0  0  0  0  1  0  2  0 ] (0.00000474)
[  0  0  0  0  0  1  0  2  1 ] (0.00007438)
[  0  0  0  0  0  1  0  2  2 ] (0.00001604)
[  0  0  0  0  0  1  0  3  0 ] (0.00004532)
[  0  0  0  0  0  1  0  3  1 ] (0.00002569)
[  0  0  0  0  0  1  0  4  0 ] (0.00013342)
[  0  0  0  0  0  1  1  0  0 ] (0.00000059)
[  0  0  0  0  0  1  1  0  1 ] (0.00000719)
[  0  0  0  0  0  1  1  0  2 ] (0.00055975)
[  0  0  0  0  0  1  1  0  3 ] (0.00001226)
[  0  0  0  0  0  1  1  1  0 ] (0.00000142)
[  0  0  0  0  0  1  1  1  1 ] (0.00000000)
[  0  0  0  0  0  1  1  1  2 ] (0.00000901)
[  0  0  0  0  0  1  1  2  0 ] (0.00001792)
[  0  0  0  0  0  1  1  2  1 ] (0.00002285)
[  0  0  0  0  0  1  1  3  0 ] (0.00018239)
[  0  0  0  0  0  1  2  0  0 ] (0.00000071)
